Class,CreatedAt,Count
INFLUENCER,2019-05-24 15:00:00+00:00,169
INFLUENCER,2019-05-24 18:00:00+00:00,243
INFLUENCER,2019-05-24 21:00:00+00:00,48
INFLUENCER,2019-05-25 00:00:00+00:00,14
INFLUENCER,2019-05-25 03:00:00+00:00,50
INFLUENCER,2019-05-25 06:00:00+00:00,143
INFLUENCER,2019-05-25 09:00:00+00:00,152
INFLUENCER,2019-05-25 12:00:00+00:00,178
INFLUENCER,2019-05-25 15:00:00+00:00,159
INFLUENCER,2019-05-25 18:00:00+00:00,136
INFLUENCER,2019-05-25 21:00:00+00:00,64
INFLUENCER,2019-05-26 00:00:00+00:00,9
INFLUENCER,2019-05-26 03:00:00+00:00,99
INFLUENCER,2019-05-26 06:00:00+00:00,237
INFLUENCER,2019-05-26 09:00:00+00:00,379
INFLUENCER,2019-05-26 12:00:00+00:00,336
INFLUENCER,2019-05-26 15:00:00+00:00,840
INFLUENCER,2019-05-26 18:00:00+00:00,1039
INFLUENCER,2019-05-26 21:00:00+00:00,456
INFLUENCER,2019-05-27 00:00:00+00:00,39
INFLUENCER,2019-05-27 03:00:00+00:00,179
INFLUENCER,2019-05-27 06:00:00+00:00,332
INFLUENCER,2019-05-27 09:00:00+00:00,244
INFLUENCER,2019-05-27 12:00:00+00:00,193
INFLUENCER,2019-05-27 15:00:00+00:00,206
INFLUENCER,2019-05-27 18:00:00+00:00,150
INFLUENCER,2019-05-27 21:00:00+00:00,48
INFLUENCER,2019-05-28 00:00:00+00:00,7
INFLUENCER,2019-05-28 03:00:00+00:00,57
INFLUENCER,2019-05-28 06:00:00+00:00,149
INFLUENCER,2019-05-28 09:00:00+00:00,166
INFLUENCER,2019-05-28 12:00:00+00:00,163
INFLUENCER,2019-05-28 15:00:00+00:00,151
INFLUENCER,2019-05-28 18:00:00+00:00,139
INFLUENCER,2019-05-28 21:00:00+00:00,26
INFLUENCER,2019-05-29 00:00:00+00:00,7
INFLUENCER,2019-05-29 03:00:00+00:00,64
INFLUENCER,2019-05-29 06:00:00+00:00,108
INFLUENCER,2019-05-29 09:00:00+00:00,106
INFLUENCER,2019-05-29 12:00:00+00:00,99
INFLUENCER,2019-05-29 15:00:00+00:00,92
INFLUENCER,2019-05-29 18:00:00+00:00,70
INFLUENCER,2019-05-29 21:00:00+00:00,10
INFLUENCER,2019-05-30 00:00:00+00:00,2
INFLUENCER,2019-05-30 03:00:00+00:00,36
INFLUENCER,2019-05-30 06:00:00+00:00,68
INFLUENCER,2019-05-30 09:00:00+00:00,53
INFLUENCER,2019-05-30 12:00:00+00:00,66
INFLUENCER,2019-05-30 15:00:00+00:00,55
INFLUENCER,2019-05-30 18:00:00+00:00,68
INFLUENCER,2019-05-30 21:00:00+00:00,28
INFLUENCER,2019-05-31 00:00:00+00:00,15
INFLUENCER,2019-05-31 03:00:00+00:00,32
INFLUENCER,2019-05-31 06:00:00+00:00,43
INFLUENCER,2019-05-31 09:00:00+00:00,75
INFLUENCER,2019-05-31 12:00:00+00:00,51
INFLUENCER,2019-05-31 15:00:00+00:00,89
INFLUENCER,2019-05-31 18:00:00+00:00,93
INFLUENCER,2019-05-31 21:00:00+00:00,15
INFLUENCER,2019-06-01 00:00:00+00:00,8
INFLUENCER,2019-06-01 03:00:00+00:00,26
INFLUENCER,2019-06-01 06:00:00+00:00,51
INFLUENCER,2019-06-01 09:00:00+00:00,10
NEW,2019-05-20 06:00:00+00:00,16
NEW,2019-05-20 09:00:00+00:00,97
NEW,2019-05-20 12:00:00+00:00,97
NEW,2019-05-20 15:00:00+00:00,138
NEW,2019-05-20 18:00:00+00:00,144
NEW,2019-05-20 21:00:00+00:00,75
NEW,2019-05-21 00:00:00+00:00,22
NEW,2019-05-21 03:00:00+00:00,37
NEW,2019-05-21 06:00:00+00:00,95
NEW,2019-05-21 09:00:00+00:00,210
NEW,2019-05-21 12:00:00+00:00,119
NEW,2019-05-21 15:00:00+00:00,136
NEW,2019-05-21 18:00:00+00:00,161
NEW,2019-05-21 21:00:00+00:00,76
NEW,2019-05-22 00:00:00+00:00,22
NEW,2019-05-22 03:00:00+00:00,33
NEW,2019-05-22 06:00:00+00:00,139
NEW,2019-05-22 09:00:00+00:00,197
NEW,2019-05-22 12:00:00+00:00,181
NEW,2019-05-22 15:00:00+00:00,138
NEW,2019-05-22 18:00:00+00:00,171
NEW,2019-05-22 21:00:00+00:00,75
NEW,2019-05-23 00:00:00+00:00,24
NEW,2019-05-23 03:00:00+00:00,51
NEW,2019-05-23 06:00:00+00:00,137
NEW,2019-05-23 09:00:00+00:00,120
NEW,2019-05-23 12:00:00+00:00,151
NEW,2019-05-23 15:00:00+00:00,98
NEW,2019-05-23 18:00:00+00:00,194
NEW,2019-05-23 21:00:00+00:00,64
NEW,2019-05-24 00:00:00+00:00,28
NEW,2019-05-24 03:00:00+00:00,61
NEW,2019-05-24 06:00:00+00:00,122
NEW,2019-05-24 09:00:00+00:00,233
NEW,2019-05-24 12:00:00+00:00,146
NEW,2019-05-24 15:00:00+00:00,185
NEW,2019-05-24 18:00:00+00:00,243
NEW,2019-05-24 21:00:00+00:00,141
NEW,2019-05-25 00:00:00+00:00,20
NEW,2019-05-25 03:00:00+00:00,45
